q_id	genome_org	taxo1	taxo2	taxonomy	Hit	Hit_name	LAMPA_exclusive	LAMPA_iterat_type	LAMPA_q_from	LAMPA_q_to	LAMPA_h_from	LAMPA_h_to	LAMPA_TemplateHMM	LAMPA_Prob	LAMPA_E_value	PROT_q_from	PROT_q_to	PROT_h_from	PROT_h_to	PROT_TemplateHMM	PROT_Prob	PROT_E_value	DOM_q_from	DOM_q_to	DOM_h_from	DOM_h_to	DOM_TemplateHMM	DOM_Prob	DOM_E_value	target length	target Neff	query length #1	probability #1	pvalue #1	score #1	SS score #1	query coordinates #1	target coordinates #1	query length #2	probability #2	pvalue #2	score #2	SS score #2	query coordinates #2	target coordinates #2	Probab2
YP_004046670.1	ssRNA positive-strand viruses	Potyviridae	Potyvirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Potyviridae, Potyvirus, Sweet potato virus C	PF09862.8	DUF2089, Protein of unknown function (DUF2089)	1	2	1	399	99	199	1-97(110)	95.8	0.0037	1	3481	99	199	1-97(110)	88.6	0.15	1	299	99	199	1-97(110)	95.9	0.0033	110	12.3	3481	88.6	8.7e-06	39.1	2.8	1-3481	1-97	399	95.8	2.2e-07	37.7	2.8	1-399	1-97	2	96.18227655006254
YP_009333485.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 120	PF10662.8	PduV-EutP, Ethanolamine utilisation - propanediol utilisation	1	3	574	873	677	752	2-77(143)	96.3	8e-04	1	2178	677	752	2-77(143)	89.8	0.063	577	852	677	752	2-77(143)	96.5	0.00057	143	12.5	2178	89.8	3.8e-06	40.6	1.5	1-2178	2-77	300	96.3	4.8e-08	40.7	1.5	574-873	2-77	4	96.26567874396328
YP_009333607.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 87	PF11793.7	FANCL_C, FANCL C-terminal domain	1	2	1911	2058	1935	1990	2-76(78)	97.1	0.00038	1	3552	1935	1990	2-76(78)	91.7	0.079	1835	2090	1935	1990	2-76(78)	96.8	0.00088	78	10.2	3552	91.7	4.7e-06	42.1	3.8	1-3552	2-76	148	97.1	2.3e-08	38.5	3.8	1911-2058	2-76	2	97.5269204703651
YP_009337629.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Changjiang zhaovirus-like virus 1	PF11976.7	Rad60-SLD, Ubiquitin-2 like Rad60 SUMO-like	1	3	1	300	93	159	1-68(72)	96.1	0.013	1	2190	93	159	1-68(72)	86.9	0.89	1	259	93	159	1-68(72)	96.3	0.0097	72	11.9	2190	86.9	5.3e-05	30.9	5.9	1-2190	1-68	300	96.1	7.5e-07	32.0	5.9	1-300	1-68	3	95.72173662335474
YP_009179226.1	ssRNA positive-strand viruses	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Beihai barnacle viurs 1	PF12692.6	Methyltransf_17, S-adenosyl-L-methionine methyltransferase	1	2	2795	3806	3453	3569	18-133(158)	96	0.0035	1	5809	3453	3569	18-133(158)	91.2	0.096	3353	3669	3453	3569	18-133(158)	97.2	0.00022	158	12.2	5809	91.2	5.7e-06	45.2	4.2	1-5809	18-133	1012	96.0	2.1e-07	45.3	4.2	2795-3806	18-133	2	96.0083784577435
YP_009345890.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Megrivirus, unclassified Megrivirus, Goose megrivirus	PF12773.6	DZR, Double zinc ribbon	1	2	1	134	17	67	6-43(44)	95.4	0.0054	1	2972	17	67	6-43(44)	75.5	0.83	1	167	17	67	6-43(44)	95.2	0.007	44	10.4	2972	75.5	5e-05	31.4	2.2	1-2972	6-43	134	95.4	3.2e-07	29.5	2.2	1-134	6-43	2	96.18396521639534
YP_009333394.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 117	PF12775.6	AAA_7, P-loop containing dynein motor region D3	1	2	700	1302	788	838	2-50(272)	95.7	0.0015	1	2279	788	838	2-50(272)	91.3	0.031	688	938	788	838	2-50(272)	96.9	0.00013	272	12.2	2279	91.3	1.8e-06	47.9	1.0	1-2279	2-50	603	95.7	8.7e-08	48.5	1.0	700-1302	2-50	2	95.54372013009036
YP_009333397.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai sesarmid crab virus 1	PF13189.5	Cytidylate_kin2, Cytidylate kinase-like family	1	2	1	1205	435	586	3-185(185)	95.3	0.00076	1	1703	435	586	3-185(185)	94.7	0.0014	335	686	435	586	3-185(185)	96.8	4.1e-05	185	10.8	1703	94.7	8.4e-08	54.8	-2.1	1-1703	3-185	1205	95.3	4.6e-08	54.4	-2.1	1-1205	3-185	2	95.4230587521121
YP_009388303.1	ssRNA positive-strand viruses	Flaviviridae	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Apis flavivirus	PF13238.5	AAA_18, AAA domain	1	3	5269	5568	5473	5546	2-98(174)	95.1	0.0044	1	6614	5473	5546	2-98(174)	69.3	0.9	5373	5646	5473	5487	2-16(174)	93.9	0.0062	174	11.5	6614	69.3	5.4e-05	41.1	1.5	1-6614	2-98	300	95.1	2.6e-07	40.4	1.5	5269-5568	2-98	3	95.35568854460392
YP_009052475.1	ssRNA positive-strand viruses	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Ball python nidovirus 1	PF13365.5	Trypsin_2, Trypsin-like peptidase domain	1	2	4738	5120	4863	4979	3-137(137)	97	0.0011	1	8108	4863	4979	3-137(137)	91.9	0.15	4763	5079	4863	4979	3-137(137)	97.2	0.00074	137	12.0	8108	91.9	8.9e-06	44.8	6.4	1-8108	3-137	383	97.0	6.7e-08	42.0	6.4	4738-5120	3-137	2	97.37629573550306
YP_009052476.1	ssRNA positive-strand viruses	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Ball python nidovirus 1	PF13365.5	Trypsin_2, Trypsin-like peptidase domain	1	2	4738	5120	4863	4979	3-137(137)	97	0.0011	1	5803	4863	4979	3-137(137)	93.5	0.07	4763	5079	4863	4979	3-137(137)	97.2	0.00074	137	12.0	5803	93.5	4.2e-06	45.4	6.3	1-5803	3-137	383	97.0	6.7e-08	42.0	6.3	4738-5120	3-137	2	97.42941913705882
YP_009336687.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou bivalvia virus 1	PF13401.5	AAA_22, AAA domain	1	2	1440	2875	1661	1750	1-85(131)	96.2	0.016	1	3398	1661	1750	1-85(131)	94.6	0.096	1561	1850	1661	1750	1-85(131)	97.6	0.00044	131	12.8	3398	94.6	5.7e-06	40.3	8.5	1-3398	1-85	1436	96.2	9.8e-07	40.8	8.5	1440-2875	1-85	2	96.09979833302566
YP_005086952.1	dsRNA viruses	Endornaviridae	Alphaendornavirus	Viruses, dsRNA viruses, Endornaviridae, Alphaendornavirus, Persea americana alphaendornavirus 1	PF13528.5	Glyco_trans_1_3, Glycosyl transferase family 1	1	3	3042	3341	3127	3261	199-323(325)	96.8	0.0038	1	4393	3127	3261	199-323(325)	89.3	0.56	3027	3361	3127	3261	199-323(325)	96.7	0.0047	325	12.6	4393	89.3	3.4e-05	43.0	7.9	1-4393	199-323	300	96.8	2.3e-07	42.6	7.9	3042-3341	199-323	3	96.86137936014968
YP_009010973.1	dsRNA viruses	Endornaviridae	Alphaendornavirus	Viruses, dsRNA viruses, Endornaviridae, Alphaendornavirus, Lagenaria siceraria endornavirus-California	PF13528.5	Glyco_trans_1_3, Glycosyl transferase family 1	1	3	3625	3924	3776	3836	262-324(325)	95.6	0.0032	1	4974	3776	3836	262-324(325)	80.2	0.4	3676	3936	3776	3836	262-324(325)	95.6	0.0032	325	12.6	4974	80.2	2.4e-05	44.5	2.2	1-4974	262-324	300	95.6	1.9e-07	43.0	2.2	3625-3924	262-324	3	96.02583172039628
YP_009222598.1	dsRNA viruses	Endornaviridae	Alphaendornavirus	Viruses, dsRNA viruses, Endornaviridae, Alphaendornavirus, Cucumis melo alphaendornavirus	PF13528.5	Glyco_trans_1_3, Glycosyl transferase family 1	1	3	3593	3892	3664	3786	197-308(325)	95.9	0.011	1	4939	3664	3786	197-308(325)	83.6	0.91	3564	3886	3664	3786	197-308(325)	95.8	0.012	325	12.6	4939	83.6	5.5e-05	42.0	6.1	1-4939	197-308	300	95.9	6.8e-07	40.2	6.1	3593-3892	197-308	3	96.35839156137122
YP_009337681.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei endorna-like virus 1	PF13528.5	Glyco_trans_1_3, Glycosyl transferase family 1	1	3	3160	3459	3239	3377	197-325(325)	96.2	0.013	1	4518	3239	3377	197-325(325)	85.1	1.2	3139	3477	3239	3377	197-325(325)	96	0.018	325	12.6	4518	85.1	7.1e-05	40.8	7.6	1-4518	197-325	300	96.2	8.1e-07	39.8	7.6	3160-3459	197-325	3	96.42138573496953
YP_009310117.1	dsRNA viruses	Endornaviridae	unclassified	Viruses, dsRNA viruses, Endornaviridae, unclassified Endornavirus, Ceratobasidium endornavirus G	PF14516.5	AAA_35, AAA-like domain	1	3	301	600	514	576	1-63(330)	96.4	0.00083	1	1452	514	576	1-63(330)	93.6	0.016	414	676	514	576	1-63(330)	96.7	0.00042	330	12.8	1452	93.6	9.5e-07	47.5	2.1	1-1452	1-63	300	96.4	5e-08	45.7	2.1	301-600	1-63	2	96.71148997967796
YP_009336506.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei orthoptera virus 3	PF16285.4	DUF4931, Domain of unknown function (DUF4931)	1	2	1332	1592	1341	1431	16-131(244)	96.5	0.0021	1	2234	1341	1431	16-131(244)	92.6	0.074	1241	1531	1341	1431	16-131(244)	96.5	0.0025	244	9.7	2234	92.6	4.4e-06	49.1	5.4	1-2234	16-131	261	96.5	1.2e-07	46.9	5.3	1332-1592	16-131	2	96.89834971627863
YP_009337387.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 64	PF16285.4	DUF4931, Domain of unknown function (DUF4931)	1	2	1185	1412	1185	1272	17-131(244)	96.5	0.0022	1	2032	1184	1272	16-131(244)	92.6	0.075	1085	1372	1184	1269	16-128(244)	96.5	0.0023	244	9.7	2032	92.6	4.5e-06	48.6	5.4	1-2032	16-131	228	96.5	1.3e-07	45.9	5.3	1185-1412	17-131	2	96.96244982272583
YP_009337698.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Sanxia picorna-like virus 1	PF00004.28	AAA, ATPase family associated with various cellular activities (AAA)	0	3	601	900	621	681	3-64(130)	95.8	0.0032	1	2060	621	681	3-64(130)	88.1	0.16	521	781	621	681	3-64(130)	95.9	0.0028	130	12.6	2060	88.1	9.4e-06	37.3	2.6	1-2060	3-64	300	95.8	1.9e-07	37.1	2.6	601-900	3-64	3	95.88438709972809
YP_438202.1	dsRNA viruses	Endornaviridae	Alphaendornavirus	Viruses, dsRNA viruses, Endornaviridae, Alphaendornavirus, Oryza rufipogon alphaendornavirus	PF00201.17	UDPGT, UDP-glucoronosyl and UDP-glucosyl transferase	0	3	3271	3570	3349	3496	266-414(446)	96.1	0.008	1	4627	3349	3496	266-414(446)	83.7	0.92	3249	3596	3349	3496	266-414(446)	95.9	0.011	446	12.1	4627	83.7	5.5e-05	44.5	6.5	1-4627	266-414	300	96.1	4.8e-07	43.9	6.5	3271-3570	266-414	3	96.24995776018822
YP_009351891.1	dsRNA viruses	Endornaviridae	unclassified	Viruses, dsRNA viruses, Endornaviridae, unclassified Endornavirus, Lagenaria siceraria endornavirus-Hubei	PF00201.17	UDPGT, UDP-glucoronosyl and UDP-glucosyl transferase	0	3	3627	3926	3700	3838	262-402(446)	95.8	0.022	1	4977	3700	3838	262-402(446)	83.3	1.5	3600	3938	3700	3838	262-402(446)	95.6	0.029	446	12.1	4977	83.3	8.9e-05	43.3	7.9	1-4977	262-402	300	95.8	1.3e-06	41.5	7.9	3627-3926	262-402	3	96.29255309408823
YP_009336626.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Shahe endorna-like virus 1	PF00201.17	UDPGT, UDP-glucoronosyl and UDP-glucosyl transferase	0	2	1654	3573	3325	3488	263-422(446)	95.1	0.0061	1	5144	3386	3488	319-422(446)	90.7	0.039	3225	3588	3386	3488	319-422(446)	96.9	0.00013	446	12.1	5144	90.7	2.4e-06	55.2	1.3	1-5144	319-422	1920	95.1	3.7e-07	55.5	3.2	1654-3573	263-422	2	94.30043148931475
YP_009333460.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 110	PF00519.16	PPV_E1_C, Papillomavirus helicase	0	3	506	805	613	749	266-417(432)	96	0.0018	1	3113	613	749	266-417(432)	88.4	0.12	513	849	613	749	266-417(432)	95.8	0.0027	432	8.6	3113	88.4	7.2e-06	54.6	3.0	1-3113	266-417	300	96.0	1.1e-07	53.8	3.0	506-805	266-417	3	96.19103277664759
YP_009333575.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai sea slater virus 1	PF00519.16	PPV_E1_C, Papillomavirus helicase	0	2	1	825	511	739	187-383(432)	95.8	0.01	1	3089	511	739	187-383(432)	93.2	0.082	411	839	511	739	187-383(432)	96.5	0.0037	432	8.6	3089	93.2	4.9e-06	55.9	7.5	1-3089	187-383	825	95.8	6e-07	55.4	7.5	1-825	187-383	2	95.9337227474925
YP_803213.1	ssRNA positive-strand viruses	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Bafinivirus, White bream virus	PF00548.19	Peptidase_C3, 3C cysteine protease (picornain 3C)	0	2	3344	3726	3440	3603	4-160(165)	97.2	0.004	1	6872	3440	3605	4-162(165)	93.3	0.33	3340	3703	3440	3603	4-160(165)	97.3	0.0033	165	11.5	6872	93.3	2e-05	44.0	11.0	1-6872	4-162	383	97.2	2.4e-07	41.5	10.7	3344-3726	4-160	2	97.47727968030736
YP_803214.1	ssRNA positive-strand viruses	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Bafinivirus, White bream virus	PF00548.19	Peptidase_C3, 3C cysteine protease (picornain 3C)	0	2	3344	3726	3440	3603	4-160(165)	97.2	0.004	1	4555	3440	3605	4-162(165)	94.5	0.17	3340	3703	3440	3603	4-160(165)	97.3	0.0033	165	11.5	4555	94.5	1e-05	44.1	11.0	1-4555	4-162	383	97.2	2.4e-07	41.5	10.8	3344-3726	4-160	2	97.4868202947554
YP_009333479.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 112	PF00548.19	Peptidase_C3, 3C cysteine protease (picornain 3C)	0	3	255	554	306	439	27-165(165)	95.3	0.025	1	2460	306	439	27-165(165)	85.2	0.8	206	539	306	439	27-165(165)	95	0.033	165	11.5	2460	85.2	4.8e-05	37.2	5.8	1-2460	27-165	300	95.3	1.5e-06	36.3	5.8	255-554	27-165	4	95.6327915231631
YP_009333575.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai sea slater virus 1	PF00548.19	Peptidase_C3, 3C cysteine protease (picornain 3C)	0	2	906	1652	1396	1551	9-158(165)	96.5	0.0025	1	3089	1396	1551	9-158(165)	94.7	0.024	1296	1651	1396	1551	9-158(165)	97.2	0.00043	165	11.5	3089	94.7	1.4e-06	47.9	5.5	1-3089	9-158	747	96.5	1.5e-07	46.3	5.5	906-1652	9-158	2	96.75513796815028
YP_009333162.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou shrimp virus 7	PF00653.20	BIR, Inhibitor of Apoptosis domain	0	2	1	652	163	220	8-63(66)	96.2	0.00066	1	2071	163	220	8-63(66)	94.1	0.0073	63	320	163	220	8-63(66)	96.9	0.00013	66	9.0	2071	94.1	4.4e-07	46.6	1.0	1-2071	8-63	652	96.2	4e-08	46.4	1.0	1-652	8-63	2	96.27499615790643
YP_009011065.1	dsRNA viruses	Hypoviridae	Hypovirus	Viruses, dsRNA viruses, Hypoviridae, Hypovirus, unclassified Hypovirus, Fusarium graminearum hypovirus 1	PF00680.19	RdRP_1, RNA dependent RNA polymerase	0	3	2606	2905	2628	2783	260-436(466)	95.6	0.002	1	3705	2628	2783	260-436(466)	84.3	0.17	2528	2883	2628	2783	260-436(466)	95.3	0.0029	466	10.1	3705	84.3	1e-05	52.7	1.4	1-3705	260-436	300	95.6	1.2e-07	51.6	1.4	2606-2905	260-436	4	95.91873851612682
YP_009130646.1	dsRNA viruses	Hypoviridae	Hypovirus	Viruses, dsRNA viruses, Hypoviridae, Hypovirus, unclassified Hypovirus, Fusarium graminearum hypovirus 2	PF00680.19	RdRP_1, RNA dependent RNA polymerase	0	3	2178	2477	2297	2476	54-240(466)	95.7	0.02	1	3944	2297	2490	54-254(466)	89.6	0.62	2197	2576	2297	2490	54-254(466)	96.2	0.015	466	10.1	3944	89.6	3.7e-05	48.6	9.6	1-3944	54-254	300	95.7	1.2e-06	45.5	7.9	2178-2477	54-240	3	96.6927071106071
YP_009448196.1	dsRNA viruses	Hypoviridae	Hypovirus	Viruses, dsRNA viruses, Hypoviridae, Hypovirus, unclassified Hypovirus, Rosellinia necatrix hypovirus 1	PF00680.19	RdRP_1, RNA dependent RNA polymerase	0	2	2217	3101	2336	2797	54-392(466)	96.2	0.034	1	3971	2336	2797	54-392(466)	94	0.24	2236	2897	2336	2797	54-392(466)	96.5	0.021	466	10.1	3971	94.0	1.5e-05	51.8	12.9	1-3971	54-392	885	96.2	2e-06	50.3	12.9	2217-3101	54-392	2	96.48474862031178
YP_009330037.1	dsRNA viruses	Hypoviridae	unclassified	Viruses, dsRNA viruses, Hypoviridae, unclassified Hypoviridae, Fusarium langsethiae hypovirus 1	PF00680.19	RdRP_1, RNA dependent RNA polymerase	0	3	2185	2484	2304	2483	54-240(466)	95.8	0.019	1	3951	2304	2497	54-254(466)	90.3	0.49	2204	2583	2304	2497	54-254(466)	96.2	0.015	466	10.1	3951	90.3	3e-05	49.4	9.5	1-3951	54-254	300	95.8	1.1e-06	45.7	7.8	2185-2484	54-240	3	96.79228028341652
YP_009342322.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wuhan insect virus 19	PF00680.19	RdRP_1, RNA dependent RNA polymerase	0	3	2878	3177	3021	3175	87-249(466)	95.9	0.00073	1	4134	3021	3240	87-310(466)	89.2	0.029	2921	3275	3021	3175	87-249(466)	95.7	0.001	466	10.1	4134	89.2	1.8e-06	59.2	-1.2	1-4134	87-310	300	95.9	4.4e-08	54.1	-0.1	2878-3177	87-249	3	96.66290030409051
YP_337905.2	ssRNA positive-strand viruses	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Torovirus, Breda virus	PF00863.18	Peptidase_C4, Peptidase family C4	0	2	3045	3426	3151	3307	6-161(223)	97.6	0.00027	1	6733	3151	3307	6-161(223)	94.5	0.069	3051	3407	3151	3307	6-161(223)	97.6	0.00024	223	10.9	6733	94.5	4.1e-06	51.9	9.3	1-6733	6-161	382	97.6	1.6e-08	51.1	9.3	3045-3426	6-161	2	97.65547005202644
YP_009408168.1	ssRNA positive-strand viruses	Nidovirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, unclassified Nidovirales, Morelia viridis nidovirus	PF00863.18	Peptidase_C4, Peptidase family C4	0	2	4491	4865	4602	4753	9-180(223)	97.4	0.00049	1	7861	4602	4753	9-180(223)	94.9	0.036	4502	4853	4602	4753	9-180(223)	97.4	0.00047	223	10.9	7861	94.9	2.1e-06	54.8	8.3	1-7861	9-180	375	97.4	2.9e-08	49.6	8.3	4491-4865	9-180	2	97.80774091714736
YP_009333483.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 58	PF00863.18	Peptidase_C4, Peptidase family C4	0	2	914	1345	990	1216	20-217(223)	96.2	0.031	1	1859	990	1216	20-217(223)	93.6	0.26	890	1316	990	1216	20-217(223)	96.2	0.031	223	10.9	1859	93.6	1.6e-05	42.0	10.1	1-1859	20-217	432	96.2	1.9e-06	40.5	10.1	914-1345	20-217	2	96.48689647348766
YP_002790879.1	ssRNA positive-strand viruses	Invictavirus	unclassified	Viruses, unassigned viruses, Invictavirus, Solenopsis invicta virus 3	PF00910.21	RNA_helicase, RNA helicase	0	2	531	694	616	690	1-99(100)	97.4	0.00011	1	2580	616	690	1-99(100)	92.7	0.055	516	790	616	690	1-99(100)	96.9	0.00051	100	11.6	2580	92.7	3.3e-06	41.0	3.8	1-2580	1-99	164	97.4	6.6e-09	40.5	3.8	531-694	1-99	2	97.44574511341919
YP_002790880.2	ssRNA positive-strand viruses	Invictavirus	unclassified	Viruses, unassigned viruses, Invictavirus, Solenopsis invicta virus 3	PF00910.21	RNA_helicase, RNA helicase	0	2	531	694	616	690	1-99(100)	97.4	0.00011	1	3390	616	690	1-99(100)	91	0.095	516	790	616	690	1-99(100)	96.9	0.00051	100	11.6	3390	91.0	5.7e-06	40.7	3.6	1-3390	1-99	164	97.4	6.6e-09	40.5	3.6	531-694	1-99	2	97.38558523909144
YP_009221981.1	ssRNA positive-strand viruses	Picornavirales	Dicistroviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Dicistroviridae, unclassified Dicistroviridae, Goose dicistrovirus	PF00910.21	RNA_helicase, RNA helicase	0	2	1	1025	534	645	1-99(100)	96	0.0048	1	1826	534	645	1-99(100)	94.9	0.019	434	745	534	645	1-99(100)	97.2	3e-04	100	11.6	1826	94.9	1.1e-06	42.1	4.7	1-1826	1-99	1025	96.0	2.9e-07	42.5	4.7	1-1025	1-99	2	95.91529460504586
YP_003622540.1	ssRNA positive-strand viruses	Picornavirales	Iflaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Iflaviridae, Iflavirus, Slow bee paralysis virus	PF00910.21	RNA_helicase, RNA helicase	0	2	1130	2204	1479	1586	1-100(100)	96.3	0.0013	1	2964	1479	1586	1-100(100)	94.4	0.013	1379	1686	1479	1586	1-100(100)	97.6	2.7e-05	100	11.6	2964	94.4	7.9e-07	45.2	3.0	1-2964	1-100	1075	96.3	7.7e-08	45.8	3.0	1130-2204	1-100	2	96.20132230967285
YP_009448183.1	ssRNA positive-strand viruses	Picornavirales	Iflaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Iflaviridae, Iflavirus, unclassified Iflavirus, Armigeres iflavirus	PF00910.21	RNA_helicase, RNA helicase	0	3	1440	1739	1466	1573	1-99(100)	96.2	0.0032	1	2752	1466	1573	1-99(100)	85.2	0.48	1366	1673	1466	1573	1-99(100)	96.3	0.0028	100	11.6	2752	85.2	2.9e-05	35.8	4.1	1-2752	1-99	300	96.2	1.9e-07	37.3	4.1	1440-1739	1-99	3	95.81827424248726
YP_009220374.1	ssRNA positive-strand viruses	Picornavirales	Secoviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Secoviridae, Cheravirus, unclassified Cheravirus, Currant latent virus	PF00910.21	RNA_helicase, RNA helicase	0	2	518	1085	745	849	2-100(100)	96.8	0.00025	1	2124	745	849	2-100(100)	94.6	0.0072	645	949	745	849	2-100(100)	97.3	4.4e-05	100	11.6	2124	94.6	4.3e-07	45.1	1.9	1-2124	2-100	568	96.8	1.5e-08	45.9	1.9	518-1085	2-100	2	96.68933917499777
YP_009010971.1	ssRNA positive-strand viruses	Picornavirales	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, unclassified Picornavirales, Posavirus 1	PF00910.21	RNA_helicase, RNA helicase	0	2	337	1457	532	651	1-99(100)	96.1	0.0012	1	2952	532	651	1-99(100)	93.8	0.012	432	751	532	651	1-99(100)	97.2	6.2e-05	100	11.6	2952	93.8	7.4e-07	45.4	1.8	1-2952	1-99	1121	96.1	7.3e-08	46.1	1.8	337-1457	1-99	2	95.89167517277224
YP_009047190.1	ssRNA positive-strand viruses	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Drosophila immigrans Nora virus	PF00910.21	RNA_helicase, RNA helicase	0	3	242	541	352	463	1-100(100)	96.1	0.0019	1	2043	352	463	1-100(100)	89.7	0.095	252	563	352	463	1-100(100)	96	0.0023	100	11.6	2043	89.7	5.7e-06	38.6	2.4	1-2043	1-100	300	96.1	1.1e-07	38.3	2.4	242-541	1-100	4	96.15104117053852
YP_009330050.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei myriapoda virus 1	PF00910.21	RNA_helicase, RNA helicase	0	2	1350	2244	1553	1657	1-100(100)	96.6	0.0016	1	3029	1553	1657	1-100(100)	94.6	0.02	1453	1757	1553	1657	1-100(100)	97.4	0.00013	100	11.6	3029	94.6	1.2e-06	44.3	4.6	1-3029	1-100	895	96.6	9.4e-08	44.3	4.6	1350-2244	1-100	2	96.55988293296934
YP_009333264.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai hermit crab virus 1	PF00910.21	RNA_helicase, RNA helicase	0	3	451	750	586	695	1-99(100)	96.5	0.001	1	1924	586	695	1-99(100)	91.5	0.067	486	795	586	695	1-99(100)	96.4	0.0013	100	11.6	1924	91.5	4e-06	39.2	3.0	1-1924	1-99	300	96.5	6e-08	39.6	3.0	451-750	1-99	4	96.45068287085981
YP_009333281.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai octopus virus 1	PF00910.21	RNA_helicase, RNA helicase	0	2	1	953	394	504	1-100(100)	96	0.0099	1	1731	394	504	1-100(100)	94.9	0.035	294	604	394	504	1-100(100)	97	0.0012	100	11.6	1731	94.9	2.1e-06	40.3	6.2	1-1731	1-100	953	96.0	5.9e-07	40.5	6.2	1-953	1-100	2	95.94138934086237
YP_009333388.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 64	PF00910.21	RNA_helicase, RNA helicase	0	2	1	587	324	437	1-99(100)	96.5	0.0037	1	1587	324	437	1-99(100)	94.3	0.048	224	537	324	437	1-99(100)	96.8	0.0017	100	11.6	1587	94.3	2.9e-06	39.2	5.7	1-1587	1-99	587	96.5	2.2e-07	40.3	5.7	1-587	1-99	2	96.21211559511103
YP_009333403.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 2	PF00910.21	RNA_helicase, RNA helicase	0	2	1	949	400	466	1-61(100)	96.1	0.0042	1	1914	400	466	1-61(100)	94.8	0.02	300	566	400	466	1-61(100)	97.4	0.00014	100	11.6	1914	94.8	1.2e-06	42.2	4.8	1-1914	1-61	949	96.1	2.5e-07	42.4	4.8	1-949	1-61	2	96.07823015915858
YP_009333414.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 6	PF00910.21	RNA_helicase, RNA helicase	0	3	172	471	353	462	1-99(100)	95.1	0.012	1	1840	353	462	1-99(100)	86.9	0.28	253	562	353	462	1-99(100)	95.3	0.0091	100	11.6	1840	86.9	1.7e-05	35.5	3.4	1-1840	1-99	300	95.1	7.3e-07	34.6	3.4	172-471	1-99	4	95.45238894911769
